iso_a3,name,continent,mean,geometry,mean_emissions,mean_methane_emissions,renewable_below_50,mean_oxide_emissions
AGO,Angola,Africa,51.1425,"list(list(c(13.3755973649719, 13.024869419007, 12.7351713395787, 12.3224316748636, 12.2273470394464, 12.7282983740839, 12.9330403988243, 13.2364327328099, 12.9290613135378, 12.8753695003866, 13.1209875830699, 13.3873279151022, 13.6863794287753, 13.7387276546869, 13.6337211442698, 13.3129138526018, 12.7384786312454, 12.500095249083, 12.1756189307223, 12.1235807634044, 11.7785372249916, 11.6400960628816, 11.7341988460851, 12.2154614600194, 12.8140812516884, 13.46236209479, 14.058501417709, 14.2097066585951, 
18.2633093604342, 18.9561869646036, 21.3771761410456, 23.2150484555061, 22.5624784685243, 21.8878426449539, 21.9338863461259, 24.0161365088947, 23.9309220720454, 24.0799052263429, 23.9041536801182, 24.0178935075926, 23.9122152035557, 23.4567908057675, 22.8373454118848, 22.4027982927424, 22.1552681820643, 22.2087532894864, 21.8751819190424, 21.801801385188, 21.949130893652, 21.7464559262034, 21.7281107927398, 20.5147481625265, 20.6018229509383, 20.0916215349206, 20.0377230160402, 19.4175024756732, 
19.1666133968961, 19.0167517432497, 18.4641756527527, 18.1342216325691, 17.4729700049623, 17.0899959652472, 16.8601908708452, 16.5731799658961, 16.326528354567, 13.3755973649719, -5.86424122479956, -5.98438892987811, -5.96568206138848, -6.10009246177965, -6.29444752362937, -6.9271220841788, -7.59653858808776, -8.56262948978434, -8.95909107832757, -9.16693368900549, -9.76689706791412, -10.3735783830207, -10.7310759416158, -11.2978630509931, -12.0386447078972, -12.4836304663625, -13.1379057756099, 
-13.5476998836844, -14.4491435685839, -14.8783163387679, -15.7938160132507, -16.6731421851292, -17.3018893368245, -17.111668389558, -16.941342868724, -16.9712118465887, -17.4233806291426, -17.3531006812257, -17.3099508602619, -17.7890947404722, -17.9306364885196, -17.5231161434659, -16.8984514299218, -16.0803101538769, -12.8984371883693, -12.9110462378485, -12.5658476701388, -12.1912968888873, -11.7222815894063, -11.2372982723471, -10.9268262671375, -10.8678634578925, -11.0176217586743, -10.9930754533357, 
-11.0848011206538, -9.89479623783653, -9.52370777754856, -8.90870655684299, -8.30590097415831, -7.92008473066712, -7.29087249108132, -7.29960580813866, -6.93931772219969, -6.94309010175695, -7.11636117923166, -7.15542856204428, -7.73818368899973, -7.98824594486014, -7.84701425540648, -7.98767750410487, -8.06855112064166, -7.54568897871248, -7.22229786542998, -6.62264454511509, -5.87747039146622, -5.86424122479956)), list(c(12.4680041846298, 12.6316117692658, 12.9955172054652, 12.6207597184846, 12.3186076188739, 
11.9149630062421, 12.1823368669203, 12.4366882666609, 12.4680041846298, -5.24836150474499, -4.99127125409294, -4.78110320396192, -4.43802336997612, -4.60623015708616, -5.03798674888473, -5.7899305151638, -5.68430388755922, -5.24836150474499)))",0.943381291297398,36766.61006625,FALSE,17978.01920125
BDI,Burundi,Africa,89.16625,"list(c(29.7535124040999, 30.1163326352212, 30.5055595232436, 30.7522628110049, 30.7430127296247, 30.5276770362645, 30.469696079233, 29.9383590024079, 29.6321761410786, 29.0249263852168, 29.2763839047491, 29.3399975929004, 29.7535124040999, -4.45238941815328, -4.09013762778724, -3.56856739666537, -3.35932952231557, -3.03428476319969, -2.80763193116754, -2.41385751710346, -2.34848683025424, -2.9178577612461, -2.83925790773016, -3.29390715903406, -4.49998341229409, -4.45238941815328))",0.04345281720377951,1306.483710375,FALSE,1543.750173375
BEN,Benin,Africa,48.06625,"list(c(2.74906253420022, 2.72379275880951, 2.91230838381026, 3.2203515967021, 3.70543826662592, 3.6000700211828, 3.79711225751171, 3.57221642417747, 3.61118045412556, 2.84864301922667, 2.49016360841793, 2.15447350424992, 1.93598554851988, 1.44717817547107, 1.24346967937649, 0.899563022474069, 0.772335646171484, 1.07779503744874, 1.42506066245014, 1.46304284018467, 1.66447757325838, 1.61895063640924, 1.86524051271232, 2.69170169435625, 2.74906253420022, 7.87073436119289, 8.50684540448971, 9.13760793704432, 
9.4441525333997, 10.0632103540402, 10.3321861841194, 10.7347455916731, 11.3279393579515, 11.660167141156, 12.2356358911583, 12.2330520695437, 11.9401500513133, 11.6411502140725, 11.5477192244889, 11.1105107690835, 10.9973393823643, 10.4708082137424, 10.175606594275, 9.82539541263299, 9.33462433515708, 9.12859039960938, 6.83203807212624, 6.14215770102973, 6.25881724692863, 7.87073436119289))",0.5407643033286532,3623.69106,TRUE,2539.730514375
BFA,Burkina Faso,Africa,73.60875,"list(c(-2.96389624674711, -2.94040930827046, -1.20335771321143, -0.761575893548184, -0.438701544588582, 0.0238025244237008, 0.899563022474069, 1.24346967937649, 1.44717817547107, 1.93598554851988, 2.15447350424992, 2.17710778159378, 1.02410322429748, 0.993045688490071, 0.429927605805517, 0.295646396495101, 0.374892205414682, -0.26625729003058, -0.515854458000348, -1.06636349120566, -2.00103512206877, -2.19182451009039, -2.96769446452058, -3.10370683431276, -3.52280270019986, -4.00639075358723, -4.28040503581488, 
-4.4271661035238, -5.22094194174312, -5.19784257650865, -5.47056494792901, -5.40434159994698, -4.9546532861431, -4.77988359213197, -4.33024695476038, -3.98044918457669, -3.51189897298627, -2.82749630371271, -2.96389624674711, 10.3953347843801, 10.9626903345126, 11.0098192407627, 10.9369296330151, 11.0983409692787, 11.0186817489008, 10.9973393823643, 11.1105107690835, 11.5477192244889, 11.6411502140725, 11.9401500513133, 12.6250178084775, 12.8518256698066, 13.3357496200038, 13.9887330184439, 14.4442349308806, 
14.9289081893461, 14.9243089868721, 15.1161577417557, 14.9738150090077, 14.5590082870009, 14.2464175480673, 13.7981503361515, 13.5412667912286, 13.3376616479986, 13.4724854598481, 13.2284435083497, 12.5426455754043, 11.7138589543072, 11.3751457788501, 10.951269842976, 10.3707368026091, 10.1527139347697, 9.82198476810174, 9.61083486575714, 9.8623440617217, 9.90032623945622, 9.64246084231978, 10.3953347843801))",0.2068770037548685,13936.1261125,FALSE,9299.450006
BWA,Botswana,Africa,25.99625,"list(c(25.264225701608, 25.0844433936646, 24.5207051937925, 24.2173645362392, 23.5790055681377, 23.1968583513393, 21.655040317479, 20.9106413103145, 20.8811340674759, 19.8954577979407, 19.8957678565344, 20.1657255388272, 20.7586092465118, 20.6664701677354, 20.8896090023717, 21.6058960303694, 22.1059688656579, 22.5795316911806, 22.8242712745149, 23.3120967953502, 23.7335697771227, 24.2112667172288, 25.0251705258258, 25.6646663754377, 25.7658488298652, 25.9416520525222, 26.4857532081233, 26.7864066911974, 
27.1194096208863, 28.0172359555253, 29.432188348109, 28.7946562029242, 28.0213700701086, 27.7272278175033, 27.7247473487533, 27.2965047543505, 26.1647908871585, 25.8503914730947, 25.6491634457502, 25.264225701608, -17.7365398088314, -17.6618156877373, -17.8871249325299, -17.8893470191184, -18.28126108162, -17.8690381812277, -18.2191460100052, -18.252218926672, -21.814327080983, -21.8491569963477, -24.7677902157604, -24.9179619280006, -25.8681364885513, -26.4774533017048, -26.8285429826958, -26.7265337053516, 
-26.280256036079, -25.979447523708, -25.5004586727946, -25.2686898739655, -25.3901294898514, -25.6702157528734, -25.7196700985767, -25.4868160946695, -25.1748454729235, -24.6963733863331, -24.6163265927129, -24.2406906063833, -23.5743230119796, -22.8277535946589, -22.0913127580674, -21.6394540341073, -21.4859750302005, -20.8518018531146, -20.4990585262903, -20.3915198706909, -19.2930856258949, -18.7144129370905, -18.5360258928189, -17.7365398088314))",2.770321371006749,3353.299866875,TRUE,2680.254261625
CAF,Central African Rep.,Africa,92.775,"list(c(14.7765454444046, 14.5365600928411, 14.4594071794293, 14.5589359880235, 14.4783724300805, 14.9509534033897, 15.0362195166713, 15.4053959489644, 15.8627323747475, 15.9073808122477, 16.0128524105554, 16.5370581397241, 17.1330424333463, 17.8099003435053, 18.4530652198099, 18.5429822119978, 18.9323124528848, 19.4677836442932, 20.2906791521089, 20.9275911801063, 21.65912275563, 22.4051237321955, 22.7041235694363, 22.8414795264681, 23.2972139828501, 24.4105310401463, 24.8050289242624, 25.1288334490033, 
25.2787984555143, 25.6504553565575, 26.4027608578625, 27.0440653826047, 27.3742261085175, 27.2134090512252, 26.4659094581232, 26.2134184099451, 25.7966479835112, 25.1241308936647, 25.1149324887168, 24.5673690121521, 23.8058134294668, 23.459012892356, 23.3947790870172, 23.5572497901428, 23.5543042335022, 22.9775435726926, 22.8641654802442, 22.2311291846688, 21.7238216488595, 21.0008683610962, 20.0596854997643, 19.094008009526, 18.8120097185093, 18.9110217627805, 18.3895548845232, 17.9649296403809, 
16.7059883968863, 16.4561845231874, 16.2905615576919, 16.1062317237068, 15.2794604834691, 14.7765454444046, 6.40849803306205, 6.22695872642069, 5.4517605656103, 5.03059764243153, 4.73260549562045, 4.21038930909492, 3.85136729574712, 3.33530060466434, 3.01353729899898, 2.55738943115861, 2.26763967529809, 3.19825470622628, 3.72819651937945, 3.56019643799857, 3.50438589112335, 4.20178518311832, 4.70950613038598, 5.03152781821278, 4.69167776124529, 4.32278554932974, 4.22434194581372, 4.02916006104732, 
4.63305084881016, 4.71012624757349, 4.60969310141422, 5.10878408448913, 4.89724660890235, 4.92724477784779, 5.17040822999719, 5.25608775473713, 5.15087453859087, 5.12785268800484, 5.23394440350006, 5.55095347739456, 5.94671743410187, 6.54660329836208, 6.97931590415807, 7.50008515057944, 7.82510407147917, 8.22918793378547, 8.66631887454242, 8.95428579348889, 9.26506785729223, 9.68121816653868, 10.0892552759153, 10.7144625919985, 11.1423951278075, 10.9718887394605, 10.567055568886, 9.47598521569151, 
9.01270600019486, 9.07484691002584, 8.9829145369786, 8.63089468020635, 8.28130361575183, 7.89091400800287, 7.50832754152998, 7.73477366783297, 7.75430735923931, 7.49708791750651, 7.42192454673797, 6.40849803306205))",0.0385766444414527,10028.9159355,FALSE,10712.292985
CIV,Cote d'Ivoire,Africa,66.93125,"list(c(-2.81070146321784, -3.24437008301126, -2.98358496745033, -2.56218950032624, -2.82749630371271, -3.51189897298627, -3.98044918457669, -4.33024695476038, -4.77988359213197, -4.9546532861431, -5.40434159994698, -5.81692623536529, -6.05045203289227, -6.20522294760643, -6.49396501303727, -6.66646094402755, -6.85050655763506, -7.62275916180481, -7.89958980959238, -8.02994361004862, -8.22933712404682, -8.30961646161225, -8.07911373537435, -7.83210038901919, -8.20349890790088, -8.29904863120857, -8.2217923649322, 
-8.28070349774494, -8.4392984684487, -8.48544552248535, -8.38545162600057, -8.60288021486862, -8.31134762209402, -7.99369259279588, -7.57015255373169, -7.53971513511176, -7.63536821128403, -7.71215938966975, -7.51894120933044, -6.52876909018585, -5.83449622234453, -4.64991736491791, -4.00881954590494, -3.31108435710007, -2.8561250472024, -2.81070146321784, 5.38905121502411, 6.2504715031135, 7.37970490155551, 8.21962779381148, 9.64246084231978, 9.90032623945622, 9.8623440617217, 9.61083486575714, 
9.82198476810174, 10.1527139347697, 10.3707368026091, 10.2225546330122, 10.0963607853554, 10.5240607772191, 10.4113028019583, 10.4308106551484, 10.1389938419962, 10.1472362329468, 10.2973821069708, 10.2065349390017, 10.1290202905639, 9.78953196862244, 9.37622386315203, 8.57570425051863, 8.45545319257545, 8.3164435897103, 8.12332876223557, 7.68717967369216, 7.68604279218174, 7.39520783124307, 6.91180064536874, 6.46756419517166, 6.19303314862109, 6.12618968345154, 5.7073521997259, 5.31334524171652, 
5.18815908448946, 4.36456594483772, 4.33828847901731, 4.70508779542502, 4.99370066977514, 5.16826365805709, 5.17981334067432, 4.98429555909802, 4.99447581625951, 5.38905121502411))",0.40041036990677287,7660.37574925,FALSE,3237.745067
CMR,Cameroon,Africa,78.3125,"list(c(14.3378125342466, 15.1463419938852, 15.9409188168051, 16.0128524105554, 15.9073808122477, 15.8627323747475, 15.4053959489644, 15.0362195166713, 14.9509534033897, 14.4783724300805, 14.5589359880235, 14.4594071794293, 14.5365600928411, 14.7765454444046, 15.2794604834691, 15.4360917497458, 15.1208655127653, 14.9799955583377, 14.5444665869818, 13.954218377344, 14.171466098699, 14.6272005550811, 14.9093538753947, 15.4678727556053, 14.923564894275, 14.9601518083376, 14.8933858578165, 14.4957873877628, 
14.2135307145846, 14.1813362972668, 14.5771777686225, 14.468192172919, 14.4153788591167, 13.5729496598946, 13.3086763851539, 13.1675997249971, 12.955467970439, 12.7536715023392, 12.2188721045506, 12.0639461605396, 11.8393087093668, 11.7457743669185, 11.0587878760304, 10.4973751156114, 10.1182768083183, 9.5227059261544, 9.23316287602304, 8.75753299320863, 8.50028771325969, 8.48881554529089, 8.74492394372942, 8.94811567550107, 9.404366896206, 9.79519575362945, 9.64915815597263, 11.2764490088437, 11.7516654801998, 
12.3593803239522, 12.9513338558556, 13.0758223812468, 14.3378125342466, 2.22787466064949, 1.96401479736719, 1.7276726342803, 2.26763967529809, 2.55738943115861, 3.01353729899898, 3.33530060466434, 3.85136729574712, 4.21038930909492, 4.73260549562045, 5.03059764243153, 5.4517605656103, 6.22695872642069, 6.40849803306205, 7.42192454673797, 7.69281240481198, 8.38215017336942, 8.79610423424347, 8.96586131432227, 9.54949494062669, 10.0213782820999, 9.92091929772454, 9.99212942142273, 9.98233673750343, 
10.8913251815175, 11.5555740421972, 12.2190477563926, 12.8593962671373, 12.8020354272933, 12.4836569279431, 12.0853608260535, 11.9047516951934, 11.5723688826921, 10.7985659855536, 10.1603620467489, 9.64062632897341, 9.41777171471471, 8.717762762889, 8.30582408287432, 7.7998084578723, 7.39704234458944, 6.98138296144976, 6.6444267846906, 7.05535777427557, 7.03876963950988, 6.45348236737212, 6.44449066815333, 5.47966583904791, 4.77198293702685, 4.49561737712992, 4.35221527751996, 3.90412893311714, 3.7345268823352, 
3.07340444580912, 2.28386607503773, 2.26105093018087, 2.32675751383999, 2.19281220133945, 2.32161570882694, 2.26709707275902, 2.22787466064949))",0.36532193215096914,16593.57694625,FALSE,62067.07658875
COD,Dem. Rep. Congo,Africa,95.56,"list(c(29.9535001970695, 29.715995314256, 29.1590784034465, 28.6966776872988, 28.4289937680269, 27.9799772478428, 27.3742261085175, 27.0440653826047, 26.4027608578625, 25.6504553565575, 25.2787984555143, 25.1288334490033, 24.8050289242624, 24.4105310401463, 23.2972139828501, 22.8414795264681, 22.7041235694363, 22.4051237321955, 21.65912275563, 20.9275911801063, 20.2906791521089, 19.4677836442932, 18.9323124528848, 18.5429822119978, 18.4530652198099, 18.3937923519711, 18.0942757504074, 17.8988354834796, 
17.7741919287916, 17.8265401547033, 17.6635526872547, 17.63864464689, 17.5237162614729, 16.8653068376421, 16.4070919125101, 15.9728031755292, 16.0062895036543, 15.7535400733148, 15.1709916520884, 14.5826037940132, 14.2090348649752, 14.1449560889333, 13.6002348161447, 13.258240187237, 12.9955172054652, 12.6316117692658, 12.4680041846297, 12.4366882666609, 12.1823368669203, 12.3224316748635, 12.7351713395787, 13.024869419007, 13.3755973649719, 16.326528354567, 16.5731799658961, 16.8601908708452, 17.0899959652472, 
17.4729700049622, 18.1342216325691, 18.4641756527527, 19.0167517432497, 19.1666133968961, 19.4175024756732, 20.0377230160402, 20.0916215349206, 20.6018229509383, 20.5147481625265, 21.7281107927397, 21.7464559262033, 21.949130893652, 21.8018013851879, 21.8751819190423, 22.2087532894864, 22.1552681820643, 22.4027982927424, 22.8373454118848, 23.4567908057675, 23.9122152035557, 24.257155389104, 24.314516228948, 24.783169793403, 25.4181181169732, 25.7523096046047, 26.5530875993996, 27.1644197934125, 27.3887988624238, 
28.15510867688, 28.523561639121, 28.9342859229768, 29.6996138852195, 29.6160014177712, 29.3415478858691, 28.6424174333924, 28.3722530453704, 28.4960697771418, 28.6736816749289, 28.4498710466728, 28.7348665707625, 29.0029122250605, 30.3460860531908, 30.7400154965518, 30.1999967791017, 29.62003217949, 29.4199927100882, 29.5199866065729, 29.3399975929004, 29.2763839047491, 29.0249263852168, 29.1174788754516, 29.2548348324834, 29.2918868344366, 29.5794661801409, 29.5878377621722, 29.8195032081366, 29.8757788429025, 
30.0861535987627, 30.4685075212903, 30.8526701189481, 31.1741492042358, 30.77334679538, 30.8338598975938, 29.9535001970695, 4.17369904216768, 4.60080475506002, 4.38926727947323, 4.45507721599694, 4.28715464926449, 4.40841339763738, 5.23394440350006, 5.12785268800484, 5.15087453859087, 5.25608775473713, 5.17040822999719, 4.92724477784779, 4.89724660890235, 5.10878408448913, 4.60969310141422, 4.71012624757349, 4.63305084881016, 4.02916006104732, 4.22434194581372, 4.32278554932974, 4.69167776124529, 
5.03152781821278, 4.70950613038598, 4.20178518311832, 3.50438589112335, 2.90044342692822, 2.36572154378806, 1.74183197672828, 0.855658677571085, 0.288923244626105, -0.0580839982138173, -0.424831638189247, -0.743830254726987, -1.22581633871329, -1.74092701579868, -2.71239226645361, -3.53513274497253, -3.8551648901561, -4.3435071753143, -4.97023894615014, -4.7930921362536, -4.51000864015872, -4.50013844159097, -4.88295745200917, -4.78110320396188, -4.99127125409294, -5.24836150474501, -5.68430388755925, 
-5.78993051516384, -6.10009246177966, -5.9656820613885, -5.98438892987816, -5.86424122479955, -5.87747039146627, -6.62264454511509, -7.22229786542999, -7.54568897871253, -8.06855112064171, -7.98767750410492, -7.84701425540645, -7.98824594486013, -7.73818368899976, -7.1554285620443, -7.11636117923165, -6.94309010175699, -6.93931772219968, -7.29960580813863, -7.2908724910813, -7.92008473066715, -8.30590097415828, -8.90870655684298, -9.52370777754856, -9.89479623783651, -11.0848011206538, -10.9930754533357, 
-11.0176217586743, -10.8678634578925, -10.9268262671375, -10.9519926896636, -11.2628264298993, -11.238693536019, -11.33093596766, -11.7849651017764, -11.9244397925321, -11.6087484676611, -12.1327474911007, -12.2724805640179, -12.6986044246967, -13.2489584286051, -13.2572266577718, -12.1788945451373, -12.3607439103724, -11.9715686987823, -11.7936467424014, -10.789883721564, -9.60592498132493, -9.16491830814608, -8.52655934004458, -8.40703175215347, -8.23825652428822, -8.34000741947091, -7.07998097089816, 
-6.52001515058343, -5.93999887453943, -5.41997893638631, -4.49998341229409, -3.29390715903406, -2.83925790773016, -2.29221119548838, -2.21510995850891, -1.62005584066799, -1.34131316488563, -0.587405694179481, -0.205310153813372, 0.597379868976304, 1.06231273030629, 1.58380544677972, 1.84939647054381, 2.20446523682126, 2.33988332764213, 3.50916596111034, 4.17369904216768))",0.04148337340129031,33055.8493475,FALSE,14612.9024825
COG,Congo,Africa,66.51125,"list(c(13.258240187237, 13.6002348161447, 14.1449560889333, 14.2090348649752, 14.5826037940132, 15.1709916520884, 15.7535400733148, 16.0062895036543, 15.9728031755292, 16.4070919125101, 16.8653068376421, 17.5237162614729, 17.63864464689, 17.6635526872547, 17.8265401547033, 17.7741919287916, 17.8988354834796, 18.0942757504074, 18.3937923519711, 18.4530652198099, 17.8099003435053, 17.1330424333463, 16.5370581397241, 16.0128524105554, 15.9409188168051, 15.1463419938852, 14.3378125342466, 13.0758223812468, 
13.0031136410121, 13.2826314632788, 14.0266687354172, 14.276265903387, 13.8433207536457, 14.3164184912777, 14.4254557634136, 14.2992102393246, 13.9924072608077, 13.1096187679656, 12.5752844580676, 12.4957027523382, 11.8209635759032, 11.4780387712143, 11.8551216976481, 11.0937728206919, 11.9149630062421, 12.3186076188739, 12.6207597184845, 12.9955172054652, 13.258240187237, -4.88295745200917, -4.50013844159097, -4.51000864015872, -4.7930921362536, -4.97023894615014, -4.3435071753143, -3.8551648901561, 
-3.53513274497253, -2.71239226645361, -1.74092701579868, -1.22581633871329, -0.743830254726987, -0.424831638189247, -0.0580839982138173, 0.288923244626105, 0.855658677571085, 1.74183197672828, 2.36572154378806, 2.90044342692822, 3.50438589112335, 3.56019643799857, 3.72819651937945, 3.19825470622628, 2.26763967529809, 1.7276726342803, 1.96401479736719, 2.22787466064949, 2.26709707275902, 1.83089630778332, 1.31418366129688, 1.39567739502115, 1.19692983642662, 0.038757635901149, -0.552627455247048, 
-1.33340667074497, -1.99827564861221, -2.4708049454891, -2.42874032960351, -1.94851124431513, -2.39168832765024, -2.51416147218198, -2.76561899171424, -3.42687061932105, -3.97882659263055, -5.03798674888479, -4.60623015708619, -4.43802336997614, -4.78110320396188, -4.88295745200917))",1.1071782139192088,8808.113268125,FALSE,1735.98405025
